id,user,uid,version,changeset,timestamp
268514756,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:59Z
268514761,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:59Z
268514765,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:50:59Z
268514769,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:51:00Z
268514773,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:51:00Z
268514779,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:51:00Z
268514784,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:51:00Z
268514788,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:51:00Z
268514792,Saikrishna_FultonCountyImport,1981121,1,21276052,2014-03-24T00:51:01Z
268515052,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:33Z
268515056,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:33Z
268515060,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:34Z
268515064,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:35Z
268515068,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:35Z
268515072,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:35Z
268515076,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:36Z
268515080,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:36Z
268515084,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:37Z
268515091,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:37Z
268515095,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:38Z
268515099,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:38Z
268515107,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:38Z
268515119,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:39Z
268515132,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:40Z
268515145,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:40Z
268515157,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:41Z
268515167,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:41Z
268515180,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:41Z
268515195,Saikrishna_FultonCountyImport,1981121,1,21276080,2014-03-24T00:55:42Z
